id_lingua;codice_lingua;nome_lingua;data_creazione;data_ultima_modifica;eliminato
1;Investment clicks-and-mortar grid-enabled;deliver;2023-02-08T10:38:26;2023-02-08T20:11:34;true
2;strategy connecting pixel;Configuration EXE deposit;2023-02-08T14:29:44;2023-02-08T12:27:12;false
3;Bike;override Cambridgeshire;2023-02-08T18:59:04;2023-02-08T00:36:47;true
4;Graphical radical;Representative Analyst bluetooth;2023-02-08T10:57:54;2023-02-08T18:34:19;true
5;architectures;payment;2023-02-08T09:29:10;2023-02-08T21:28:51;false
6;EXE;bottom-line;2023-02-08T19:10:41;2023-02-08T08:42:43;false
7;overriding;Metal Tactics Market;2023-02-08T07:51:50;2023-02-08T14:03:48;true
8;Exclusive;Towels web-readiness;2023-02-08T00:26:53;2023-02-08T02:42:36;true
9;SCSI cutting-edge SCSI;Cambridgeshire;2023-02-08T03:18:57;2023-02-08T13:56:42;true
10;Bacon Chad strategize;Optional;2023-02-08T08:08:45;2023-02-08T07:53:45;true
